Month,Wood Energy Production,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
1973 January,129.63,Not Available,129.787,403.981,272.703,1.491,Not Available,Not Available,129.63,0.157,Not Available,129.787,403.981
1973 February,117.194,Not Available,117.338,360.9,242.199,1.363,Not Available,Not Available,117.194,0.144,Not Available,117.338,360.9
1973 March,129.763,Not Available,129.938,400.161,268.81,1.412,Not Available,Not Available,129.763,0.176,Not Available,129.938,400.161
1973 April,125.462,Not Available,125.636,380.47,253.185,1.649,Not Available,Not Available,125.462,0.174,Not Available,125.636,380.47
1973 May,129.624,Not Available,129.834,392.141,260.77,1.537,Not Available,Not Available,129.624,0.21,Not Available,129.834,392.141
1973 June,125.435,Not Available,125.611,377.232,249.859,1.763,Not Available,Not Available,125.435,0.176,Not Available,125.611,377.232
1973 July,129.616,Not Available,129.787,367.325,235.67,1.869,Not Available,Not Available,129.616,0.17,Not Available,129.787,367.325
1973 August,129.734,Not Available,129.918,353.757,222.077,1.762,Not Available,Not Available,129.734,0.184,Not Available,129.918,353.757
1973 September,125.603,Not Available,125.782,307.006,179.733,1.492,Not Available,Not Available,125.603,0.178,Not Available,125.782,307.006
1973 October,129.769,Not Available,129.97,323.453,191.723,1.76,Not Available,Not Available,129.769,0.2,Not Available,129.97,323.453
1973 November,125.492,Not Available,125.643,337.817,210.285,1.889,Not Available,Not Available,125.492,0.151,Not Available,125.643,337.817
1973 December,129.69,Not Available,129.824,406.694,274.435,2.435,Not Available,Not Available,129.69,0.135,Not Available,129.824,406.694
1974 January,130.655,Not Available,130.807,437.467,304.506,2.154,Not Available,Not Available,130.655,0.152,Not Available,130.807,437.467
1974 February,117.949,Not Available,118.091,399.942,279.95,1.901,Not Available,Not Available,117.949,0.142,Not Available,118.091,399.942
1974 March,130.579,Not Available,130.727,423.474,290.582,2.165,Not Available,Not Available,130.579,0.148,Not Available,130.727,423.474
1974 April,126.441,Not Available,126.583,422.323,293.702,2.039,Not Available,Not Available,126.441,0.142,Not Available,126.583,422.323
1974 May,130.659,Not Available,130.789,427.657,294.828,2.04,Not Available,Not Available,130.659,0.129,Not Available,130.789,427.657
1974 June,126.432,Not Available,126.611,409.281,280.695,1.975,Not Available,Not Available,126.432,0.179,Not Available,126.611,409.281
1974 July,130.548,Not Available,130.756,409.719,276.772,2.191,Not Available,Not Available,130.548,0.208,Not Available,130.756,409.719
1974 August,130.574,Not Available,130.763,386.101,253.175,2.163,Not Available,Not Available,130.574,0.189,Not Available,130.763,386.101
1974 September,126.454,Not Available,126.637,353.91,225.274,1.999,Not Available,Not Available,126.454,0.183,Not Available,126.637,353.91
1974 October,130.562,Not Available,130.718,343.703,210.955,2.03,Not Available,Not Available,130.562,0.156,Not Available,130.718,343.703
1974 November,126.352,Not Available,126.506,351.633,222.713,2.414,Not Available,Not Available,126.352,0.155,Not Available,126.506,351.633
1974 December,130.555,Not Available,130.674,376.642,243.428,2.54,Not Available,Not Available,130.555,0.119,Not Available,130.674,376.642
1975 January,127.128,Not Available,127.269,392.756,263.371,2.117,Not Available,Not Available,127.128,0.14,Not Available,127.269,392.756
1975 February,114.829,Not Available,114.942,368.278,251.317,2.019,Not Available,Not Available,114.829,0.113,Not Available,114.942,368.278
1975 March,127.127,Not Available,127.251,423.49,293.961,2.277,Not Available,Not Available,127.127,0.124,Not Available,127.251,423.49
1975 April,123.022,Not Available,123.139,405.368,279.947,2.281,Not Available,Not Available,123.022,0.117,Not Available,123.139,405.368
1975 May,127.13,Not Available,127.303,421.283,291.504,2.475,Not Available,Not Available,127.13,0.173,Not Available,127.303,421.283
1975 June,123.048,Not Available,123.241,411.622,285.31,3.07,Not Available,Not Available,123.048,0.193,Not Available,123.241,411.622
1975 July,127.125,Not Available,127.288,398.459,268.081,3.091,Not Available,Not Available,127.125,0.163,Not Available,127.288,398.459
1975 August,127.136,Not Available,127.321,368.23,237.557,3.351,Not Available,Not Available,127.136,0.185,Not Available,127.321,368.23
1975 September,123.052,Not Available,123.21,341.957,215.793,2.954,Not Available,Not Available,123.052,0.158,Not Available,123.21,341.957
1975 October,127.151,Not Available,127.312,368.786,238.068,3.406,Not Available,Not Available,127.151,0.161,Not Available,127.312,368.786
1975 November,123.039,Not Available,123.18,383.196,256.706,3.31,Not Available,Not Available,123.039,0.141,Not Available,123.18,383.196
